,file,time_rel(sec)
0,xa.s12.00.mhz.1969-12-16HR00_evid00006,8877.002257571867
1,xa.s12.00.mhz.1970-01-09HR00_evid00007,14234.847513227483
2,xa.s12.00.mhz.1970-02-07HR00_evid00014,18467.010710434854
3,xa.s12.00.mhz.1970-02-18HR00_evid00016,35660.34835950179
4,xa.s12.00.mhz.1970-03-14HR00_evid00018,18820.594379585666
5,xa.s12.00.mhz.1970-03-30HR00_evid00020,6248.366041451611
6,xa.s12.00.mhz.1970-04-03HR00_evid00021,26672.272105889144
7,xa.s12.00.mhz.1970-05-20HR00_evid00026,62890.70841872965
8,xa.s12.00.mhz.1970-05-23HR00_evid00027,38701.32935531674
9,xa.s12.00.mhz.1970-05-24HR00_evid00028,10036.180924383983
10,xa.s12.00.mhz.1970-05-25HR00_evid00029,14263.350090851807
11,xa.s12.00.mhz.1970-06-19HR00_evid00031,7159.2141193639145
12,xa.s12.00.mhz.1970-07-17HR00_evid00035,25594.004866413285
13,xa.s12.00.mhz.1970-07-18HR00_evid00036,10251.58903116773
14,xa.s12.00.mhz.1970-07-20HR00_evid00037,30754.637701479835
15,xa.s12.00.mhz.1970-07-27HR00_evid00039,13055.619114488354
16,xa.s12.00.mhz.1970-09-09HR00_evid00043,22100.7830577564
17,xa.s12.00.mhz.1970-10-26HR00_evid00049,13495.468536438457
18,xa.s12.00.mhz.1970-11-03HR00_evid00050,64603.10679703407
19,xa.s12.00.mhz.1970-11-03HR00_evid00051,64603.10679703407
20,xa.s12.00.mhz.1971-01-03HR00_evid00057,28246.85540351583
21,xa.s12.00.mhz.1971-01-05HR00_evid00059,2389.4985557769646
22,xa.s12.00.mhz.1971-01-17HR00_evid00060,65787.26289080064
23,xa.s12.00.mhz.1971-03-15HR00_evid00073,27165.98276449886
24,xa.s12.00.mhz.1971-04-08HR01_evid00083,27658.166895313912
25,xa.s12.00.mhz.1971-05-22HR00_evid00092,64318.675279792
26,xa.s12.00.mhz.1971-06-11HR00_evid00096,43396.89525083998
27,xa.s12.00.mhz.1971-06-27HR00_evid00101,67014.16774969138
28,xa.s12.00.mhz.1971-10-06HR00_evid00124,17428.07663086293
29,xa.s12.00.mhz.1971-10-06HR00_evid00125,17428.07663086293
30,xa.s12.00.mhz.1971-10-26HR00_evid00133,14313.225802576124
31,xa.s12.00.mhz.1971-11-24HR00_evid00156,12130.10546776544
32,xa.s12.00.mhz.1972-01-26HR00_evid00186,13841.245146814948
33,xa.s12.00.mhz.1972-02-21HR00_evid00190,62784.39538035516
34,xa.s12.00.mhz.1972-02-28HR00_evid00192,31655.61389551304
35,xa.s12.00.mhz.1972-05-15HR00_evid00223,41543.65300392572
36,xa.s12.00.mhz.1972-05-19HR00_evid00228,19716.114347142546
37,xa.s12.00.mhz.1972-11-14HR00_evid00331,67414.58875116966
38,xa.s12.00.mhz.1972-11-19HR00_evid00335,65590.34359246567
39,xa.s12.00.mhz.1972-12-02HR00_evid00341,27696.182371756764
40,xa.s12.00.mhz.1972-12-06HR00_evid00342,45053.00267665765
41,xa.s12.00.mhz.1972-12-15HR00_evid00349,27337.53230975768
42,xa.s12.00.mhz.1973-03-12HR00_evid00384,68409.5585614799
43,xa.s12.00.mhz.1973-04-23HR00_evid00399,42736.06605958844
44,xa.s12.00.mhz.1973-08-08HR00_evid00437,63162.518502246814
45,xa.s12.00.mhz.1973-10-03HR03_evid00461,56981.58856342359
46,xa.s12.00.mhz.1973-10-10HR00_evid00463,6436.49217565329
47,xa.s12.00.mhz.1973-11-22HR00_evid00475,46586.84541557857
48,xa.s12.00.mhz.1974-03-14HR00_evid00506,28228.78852123084
49,xa.s12.00.mhz.1974-03-30HR00_evid00512,42867.79534826814
50,xa.s12.00.mhz.1974-05-09HR00_evid00522,21182.78877751977
51,xa.s12.00.mhz.1974-06-30HR00_evid00543,61642.37215224704
52,xa.s12.00.mhz.1974-07-25HR05_evid00553,26190.765790551926
53,xa.s12.00.mhz.1974-10-02HR00_evid00572,34582.79314792572
54,xa.s12.00.mhz.1975-04-21HR00_evid00638,6894.752153704842
55,xa.s12.00.mhz.1975-05-16HR00_evid00651,59432.68370070221
56,xa.s12.00.mhz.1975-05-20HR00_evid00652,39372.07431459319
57,xa.s12.00.mhz.1975-06-15HR00_evid00660,12539.108165536383
58,xa.s12.00.mhz.1975-06-17HR00_evid00662,31441.479709330004
59,xa.s12.00.mhz.1977-04-11HR00_evid00915,39037.1973454614
60,xa.s12.00.mhz.1977-04-24HR00_evid00923,59056.51319364961
61,xa.s12.00.mhz.1977-04-26HR00_evid00924,28052.080395990564
62,xa.s12.00.mhz.1977-07-19HR00_evid00991,43986.30521792446
63,xa.s12.00.mhz.1977-09-13HR00_evid01012,68951.39219756595
64,xa.s15.00.mhz.1973-04-04HR00_evid00098,63423.28751570515
65,xa.s15.00.mhz.1973-08-10HR00_evid00126,63121.43473709904
66,xa.s15.00.mhz.1973-10-27HR00_evid00134,30953.224175918647
67,xa.s15.00.mhz.1974-10-19HR00_evid00157,67028.99931857121
68,xa.s15.00.mhz.1974-11-17HR00_evid00162,17800.468873288126
69,xa.s15.00.mhz.1974-11-21HR00_evid00166,33035.76202782112
70,xa.s15.00.mhz.1974-12-15HR00_evid00169,26988.999598169317
71,xa.s15.00.mhz.1974-12-15HR00_evid00170,26988.999598169317
72,xa.s15.00.mhz.1975-04-12HR00_evid00190,64775.37332638239
73,xa.s15.00.mhz.1975-06-22HR00_evid00194,67293.77974999206
74,xa.s15.00.mhz.1974-02-06HR00_evid00497,5902.326073108069
75,xa.s15.00.mhz.1974-06-16HR00_evid00536,67019.04299028384
76,xa.s15.00.mhz.1974-06-30HR00_evid00542,39820.760198768905
77,xa.s15.00.mhz.1974-08-04HR00_evid00557,39726.354169751765
78,xa.s15.00.mhz.1975-05-20HR00_evid00653,56765.1488855286
79,xa.s16.00.mhz.1972-09-10HR00_evid00075,37113.90418919503
80,xa.s16.00.mhz.1972-11-06HR00_evid00079,16927.30022847668
81,xa.s16.00.mhz.1972-11-08HR00_evid00080,66154.28294935384
82,xa.s16.00.mhz.1972-11-14HR00_evid00081,55482.28117767897
83,xa.s16.00.mhz.1973-07-31HR00_evid00123,49668.79515599195
84,xa.s16.00.mhz.1974-05-19HR00_evid00146,67557.97098576666
85,xa.s16.00.mhz.1974-11-11HR00_evid00160,61043.37569405501
86,xa.s16.00.mhz.1974-12-12HR02_evid00168,56297.3155291717
87,xa.s16.00.mhz.1974-12-15HR00_evid00172,36252.17229773069
88,xa.s16.00.mhz.1974-12-25HR00_evid00174,69079.18100273519
89,xa.s16.00.mhz.1975-02-19HR00_evid00180,40533.65163718763
90,xa.s16.00.mhz.1975-03-26HR00_evid00186,6175.490005428643
91,xa.s16.00.mhz.1977-04-17HR00_evid00249,55797.718369580296
92,xa.s16.00.mhz.1977-06-02HR00_evid00255,55692.83243817818
93,xa.s16.00.mhz.1973-08-25HR00_evid00443,9511.03128015304
94,xa.s16.00.mhz.1973-12-18HR00_evid00487,68344.67725614225
95,xa.s16.00.mhz.1974-11-14HR00_evid00587,18590.441541679105
96,heatmaps_test_XB.ELYSE.02.BHV.2019-05-23HR02_evid0041,370.4054795544594
97,heatmaps_test_XB.ELYSE.02.BHV.2019-07-26HR12_evid0033,352.0451555486768
98,heatmaps_test_XB.ELYSE.02.BHV.2019-07-26HR12_evid0034,352.0451555486768
99,heatmaps_test_XB.ELYSE.02.BHV.2019-09-21HR03_evid0032,1983.6333855092523
100,heatmaps_test_XB.ELYSE.02.BHV.2021-05-02HR01_evid0017,1403.8814227208495
101,heatmaps_test_XB.ELYSE.02.BHV.2021-10-11HR23_evid0011,547.2783728316426
102,heatmaps_test_XB.ELYSE.02.BHV.2021-12-24HR22_evid0007,371.2494785428047
103,heatmaps_test_XB.ELYSE.02.BHV.2022-04-09HR22_evid0002,1052.1094463661314
104,heatmaps_test_XB.ELYSE.02.BHV.2022-05-04HR23_evid0001,1425.3788654118778
